time_ms,frame_time_ms,source_fps,latency_ms,new_frame,video_w,video_h,bitrate_mbps,total_frames,dropped_frames,audio_queue,audio_underruns
59688.554,3.740,57.1,11.170,1,498,1080,0.18,814,0,0,0
59702.880,1.397,57.1,0.000,0,498,1080,0.18,814,0,0,0
59720.047,1.897,57.1,0.000,0,498,1080,0.18,814,0,0,0
59738.119,3.302,57.1,6.039,1,498,1080,0.18,816,0,0,0
59752.884,1.399,57.1,0.000,0,498,1080,0.18,816,0,0,0
59769.850,1.698,57.1,0.000,0,498,1080,0.18,816,0,0,0
59788.436,3.556,57.1,9.245,1,498,1080,0.18,817,0,0,0
59802.788,1.240,57.1,0.000,0,498,1080,0.18,817,0,0,0
59820.054,1.839,57.1,0.000,0,498,1080,0.18,817,0,0,0
59838.127,3.244,57.1,9.118,1,498,1080,0.18,818,0,0,0
59856.803,5.253,57.1,12.968,1,498,1080,0.18,819,0,0,0
59869.906,1.690,57.1,0.000,0,498,1080,0.18,819,0,0,0
59886.201,1.304,57.1,0.000,0,498,1080,0.18,819,0,0,0
59905.997,4.434,57.1,11.597,1,498,1080,0.18,820,0,0,0
59919.530,1.300,57.1,0.000,0,498,1080,0.18,821,0,0,0
59939.384,4.487,57.1,10.697,1,498,1080,0.18,822,0,0,0
59952.486,0.920,57.1,0.000,0,498,1080,0.18,823,0,0,0
59971.014,2.781,57.1,27.168,1,498,1080,0.18,823,0,0,0
59986.762,1.862,57.1,0.000,0,498,1080,0.18,823,0,0,0
60004.444,2.876,57.1,8.122,1,498,1080,0.18,824,0,0,0
60020.497,2.262,57.1,0.000,0,498,1080,0.18,825,0,0,0
60038.358,3.456,57.1,27.275,1,498,1080,0.18,825,0,0,0
60052.517,0.948,57.1,0.000,0,498,1080,0.18,825,0,0,0
60073.984,5.740,57.1,11.789,1,498,1080,0.18,826,0,0,0
60086.129,1.217,57.1,0.000,0,498,1080,0.18,827,0,0,0
60105.725,4.146,57.1,9.148,1,498,1080,0.18,828,0,0,0
60119.876,1.629,57.1,0.000,0,498,1080,0.18,829,0,0,0
60138.186,3.271,57.1,9.353,1,498,1080,0.18,830,0,0,0
60152.863,1.281,57.1,0.000,0,498,1080,0.18,832,0,0,0
60172.160,3.911,57.1,21.888,1,498,1080,0.18,832,0,0,0
60186.752,1.828,57.1,0.000,0,498,1080,0.18,832,0,0,0
60211.450,9.859,57.1,13.709,1,498,1080,0.18,834,0,0,0
60219.470,1.213,57.1,0.000,0,498,1080,0.18,834,0,0,0
60239.850,4.926,57.1,13.517,1,498,1080,0.18,835,0,0,0
60253.170,1.578,57.1,0.000,0,498,1080,0.18,836,0,0,0
60271.658,3.399,57.1,12.817,1,498,1080,0.18,837,0,0,0
60286.437,1.511,57.1,0.000,0,498,1080,0.18,838,0,0,0
60305.195,3.601,57.1,12.055,1,498,1080,0.18,839,0,0,0
60319.762,1.500,57.1,0.000,0,498,1080,0.18,840,0,0,0
60338.018,3.087,57.1,11.950,1,498,1080,0.18,841,0,0,0
60352.699,1.102,57.1,0.000,0,498,1080,0.18,842,0,0,0
60374.217,5.952,57.1,13.580,1,498,1080,0.18,843,0,0,0
60386.320,1.387,57.1,0.000,0,498,1080,0.18,844,0,0,0
60406.574,4.974,57.1,13.239,1,498,1080,0.18,845,0,0,0
60419.826,1.558,57.1,0.000,0,498,1080,0.18,846,0,0,0
